Person,Quote
SOCRATES,"One thing i know, that i know nothing. This is the source of my wisdom."
PLATO,"Good people do not need law to tell them to act responsibly, while bad people will find a way around the laws."
ARISTOTLE,"Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy."
EPICURUS,You don't develop courage by being happy in your relationships everyday. You develop it by surviving difficult times and challenging adversity.
HERACLITUS,There is nothing permanent except change.
SOCRATES,"By all means, get married: if you find a good wife, you'll be happy; if not, you'll become a philosopher."
ALEXANDER THE GREAT,"I am indebted to my father for living, but to my teacher for living well."
PLUTARCH,"The real destroyer of the liberties of the people is he who spreads among them bounties, donations and benefits."
DEMOCRITUS,Nothing exists except atoms and empty space; everything else is just opinion.
ARISTOTLE,Love is composed of a single soul inhabiting two bodies.
SOCRATES,"All men's souls are immortal, but the souls of the righteous are immortal and divine."
PLATO,"He who steals a little steals with the same wish as he who steals much, but with less power."
EPICURUS,"Death does not concern us, because as long as we exist, death is not here. And when it does come, we no longer exist."
SOLON,"Let no man be called happy before his death. Till then, he is not happy, only lucky."
XENOPHON,"Excess of grief for the dead is madness; for it is an injury to the living, and the dead know it not."
THUCYDIDES,It is frequently a misfortune to have very brilliant men in charge of affairs. They expect too much of ordinary men.
SOCRATES,"By all means, get married: if you find a good wife, you'll be happy; if not, you'll become a philosopher."
DEMOSTHENES,Small opportunities are often the beginning of great enterprises.
PERICLES,"Wait for the wisest of all counselors, time."
ARISTOTLE,"At his best, man is the noblest of all animals; separated from law and justice he is the worst."
PLATO,Man: a being in search of meaning.
PLUTARCH,I don't need a friend who changes when I change and who nods when I nod; my shadow does that much better.
HERODOTUS,Whatever comes from God is impossible for a man to turn back.
THUCYDIDES,History is Philosophy teaching by examples.
ALEXANDER THE GREAT,I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion.
XENOPHON,"Fast is fine, but accuracy is everything."
NIKOS KAZANTZAKIS,"Since we cannot change reality, let us change the eyes which see reality."
GIANNIS RITSOS,"I know that each one of us travels to love alone, alone to faith and to death. I know it. I've tried it. It doesn't help. Let me come with you."
ARISTOTLE ONASSIS,"If women didn't exist, all the money in the world would have no meaning."
NIKOS KAZANTZAKIS,"There is only one woman in the world. One woman, with many faces."
ODYSSEUS ELYTIS,You'll come to learn a great deal if you study the Insignificant in depth.
MARIA CALLAS,It's a terrible thing to go through life thinking that you have a rock on your side when you haven't.
ARISTOTLE ONASSIS,We must free ourselves of the hope that the sea will ever rest. We must learn to sail in high winds.
