AGESILAUS,"It isn't positions which lend distinction, but men who enhance positions."
ANAXAGORAS,"In everything, there is a share of everything"
ARISTOTLE,Love is composed of a single soul inhabiting two bodies.
ARISTOTLE,"At his best, man is the noblest of all animals; separated from law and justice he is the worst."
ARISTOTLE,"We are what we repeatedly do. Excellence, then, is not an act, but a habit"
ARISTOTLE,You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.
ARISTOTLE,"Dignity does not consist in possessing honors, but in deserving them."
BERTRAND RUSSELL,Science is what you know. Philosophy is what you don't know
CONFUCIUS,He who will not economize will have to agonize.
CONFUCIUS,The superior man understands what is right; the inferior man understands what will sell.
CONFUCIUS,"Our greatest glory is not in never failing, but in rising every time we fall."
CONFUCIUS,"When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps."
DEMOCRITUS,Nothing exists except atoms and empty space; everything else is just opinion.
DEMOCRITUS,The brave man is he who overcomes not only his enemies but his pleasures
DEMOSTHENES,Small opportunities are often the beginning of great enterprises.
EPICTETUS,"Freedom is secured not by the fulfilling of one's desires, but by the removal of desire"
EPICTETUS,Make the best use of what's in your power and take the rest as it happens.
EPICURUS,You don't develop courage by being happy in your relationships everyday. You develop it by surviving difficult times and challenging adversity.
EPICURUS,"Death does not concern us, because as long as we exist, death is not here. And when it does come, we no longer exist."
HERACLITUS,There is nothing permanent except change.
HERACLITUS,One cannot step twice in the same river
HERODOTUS,Whatever comes from God is impossible for a man to turn back.
HERODOTUS,Great deeds are usually wrought at great risks.
LAO TZU,"To see things in the seed, that is genius."
ODYSSEUS ELYTIS,You'll come to learn a great deal if you study the Insignificant in depth.
PATANJALI,"When you are inspired by some great purpose, some extraordinary project, all your thoughts break their bonds."
PERICLES,"Wait for the wisest of all counselors, time."
PLATO,"Good people do not need law to tell them to act responsibly, while bad people will find a way around the laws."
PLATO,"He who steals a little steals with the same wish as he who steals much, but with less power."
PLATO,Man: a being in search of meaning.
PLATO,You can discover more about a person in an hour of play than in a year of conversation
PLATO,A good decision is based on knowledge and not numbers.
PLATO,"As the builders say, the larger stones do not lie well without the lesser."
PLOTINUS,"Knowledge, if it does not determine action, is dead to us."
PLUTARCH,"The real destroyer of the liberties of the people is he who spreads among them bounties, donations and benefits."
PLUTARCH,I don't need a friend who changes when I change and who nods when I nod; my shadow does that much better.
PLUTARCH,Know how to listen and you will profit even from those who talk badly.
RENE DESCARTES,"I think, therefore I am"
SENECA,Luck is what happens when preparation meets opportunity.
SOCRATES,"One thing I know, that I know nothing. This is the source of my wisdom."
SOCRATES,"By all means, get married: if you find a good wife, you'll be happy; if not, you'll become a philosopher."
SOCRATES,"All men's souls are immortal, but the souls of the righteous are immortal and divine."
SOCRATES,The unexamined life is not worth living
SOCRATES,"There is only one good, knowledge, and one evil, ignorance"
SOCRATES,The only thing I know is that I know nothing
SOLON,"Let no man be called happy before his death. Till then, he is not happy, only lucky."
THUCYDIDES,It is frequently a misfortune to have very brilliant men in charge of affairs. They expect too much of ordinary men.
THUCYDIDES,History is Philosophy teaching by examples.
XENOPHON,"Excess of grief for the dead is madness; for it is an injury to the living, and the dead know it not."
XENOPHON,"Fast is fine, but accuracy is everything."
