ABRAHAM LINCOLN,"Elections belong to the people."
ABRAHAM LINCOLN,"The ballot is stronger than the bullet."
ABRAHAM LINCOLN,"My concern is not whether God is on our side; my greatest concern is to be on God's side for God is always right."
B. R. AMBEDKAR,"Political tyranny is nothing compared to the social tyranny and a reformer who defies society is a more courageous man than a politician who defies Government."
BARACK OBAMA,"When our government is spoken of as some menacing, threatening, foreign entity, it ignores the fact that in our democracy, government is us."
BARACK OBAMA,"If I had to name my greatest strength, I guess it would be my humility. Greatest weakness, it's possible that I'm a little too awesome."
BILL CLINTON,"Being president is like running a cemetery: you've got a lot of people under you and nobody's listening."
BILL CLINTON,"We all do better when we work together. Our differences do matter, but our common humanity matters more."
CHARLES DE GAULLE,"In order to become the master, the politician poses as the servant."
CHARLES DE GAULLE,"I have come to the conclusion that politics is too serious a matter to be left to the politicians."
DAN QUAYLE,"In golf, you keep your head down and follow through. In the vice presidency, you keep your head up and follow through. It's a big difference."
FIDEL CASTRO,"The revolution... is a dictatorship of the exploited against the exploiters."
FRANKLIN D. ROOSEVELT,"In politics, nothing happens by accident. If it happens, you can bet it was planned that way."
FRANKLIN D. ROOSEVELT,"A conservative is a man with two perfectly good legs who, however, has never learned how to walk forward."
GEORGE WILL,"A politician's words reveal less about what he thinks about his subject than what he thinks about his audience."
GERALD FORD,"A government big enough to give you everything you want is strong enough to take everything you have."
INDIRA GANDHI,"All my games were political games; I was like Joan of Arc, perpetually being burned at the stake"
JAWAHARLAL NEHRU,"Life is like a game of cards. The hand you are dealt is determinism; the way you play it is free will."
JAWAHARLAL NEHRU,"Democracy is good. I say this because other systems are worse."
JIMMY CARTER,"My esteem in this country has gone up substantially. It is very nice now when people wave at me they use all their fingers."
JOHN ADAMS,"In politics the middle way is none at all."
JOHN F. KENNEDY,"Mothers all want their sons to grow up to be president but they don't want them to become politicians in the process."
JOHN F. KENNEDY,"The ignore of one voter in a democracy impairs the security of all."
JOHN F. KENNEDY,"Don't buy a single vote more than necessary. I'll be damned if I'm going to pay for a landslide."
JOHN F. KENNEDY,"Ask not what your country can do for you; ask what you can do for your country."
JOHN QUINCY ADAMS,"Always vote for principle, though you may vote alone, and you may cherish the sweetest reflection that your vote is never lost."
LYNDON B. JOHNSON,"This right to vote is the basic right without which all others are meaningless. It gives people people as individuals control over their own destinies."
M. M. COADY,"I'm not a leftist; I'm where the righteous ought to be."
MAO TSE-TUNG,"Politics is war without bloodshed while war is politics with bloodshed."
MARGARET THATCHER,"In politics, if you want anything said, ask a man; if you want anything done, ask a woman." 
MARIANNE THIEME,"Politicians and corporations have always placed economic interests above moral interests. This is now hurting the entire planet."
MICHELLE OBAMA,"You've got to vote, vote, vote, vote. That's it; that's the way we move forward."
NAPOLEON BONAPARTE,"In politics stupidity is not a handicap."
NARENDRA MODI,"This country has not been made by politicians kings or governments. It has been made by farmers, labourers, our mothers and sisters, and youth."
NIKITA KHRUSHCHEV,"Politicians are the same all over. They promise to build a bridge even where there is no river."
RAHUL GANDHI,"Politics is everywhere.. it is in your shirt.. in your pants.. everywhere."
RICHARD NIXON,"I played by the rules of politics as I found them."
RONALD REAGAN,"Government exists to protect us from each other. Where government has gone beyond its limits is in deciding to protect us from ourselves."
RONALD REAGAN,"Politics is just like show business. You have a hell of an opening you coast for a while, you have a hell of a closing."
THEODORE ROOSEVELT,"A vote is like a rifle; its usefulness depends upon the character of the user."
THEODORE ROOSEVELT,"The most successful politician is he who says what everybody is thinking most often and in the loudest voice."
THOMAS JEFFERSON,"When a man assumes a public trust he should consider himself as public property."
TONY BLAIR,"For most normal people politics is a distant, occasionally irritating fog."
WILLIAM E. GLADSTONE,"Liberalism is trust of the people tempered by prudence. Conservatism is distrust of the people tempered by fear."
WINSTON CHURCHILL,"The inherent vice of capitalism is the unequal sharing of blessings; the inherent virtue of socialism is the equal sharing of miseries."
WINSTON CHURCHILL,"Some men change their party for the sake of their principles; others their principles for the sake of their party."
WINSTON CHURCHILL,"Politics are almost as exciting as war and quite as dangerous. In war you can only be killed once, but in politics many times."
WINSTON CHURCHILL,"The best argument against democracy is a five-minute conversation with the average voter."
WOODROW WILSON,"Prosperity is necessarily the first theme of a political campaign"
WOODROW WILSON,"A conservative is a man who just sits and thinks mostly sits."
