ADI SANKARACHARYA,"What is enquiry into the Truth? It is the firm conviction that the Self is real, and all, other than That, is unreal."
ANTOINE DE SAINT-EXUPERY,A single event can awaken within us a stranger totally unknown to us. To live is to be slowly born.
ASHARAM JI BAPU,"Do not let circumstances influence your thoughts and moods. By rising over them mentally, you will eventually rise over them materially."
AVDHOOT BABA SHIVANAND,You have not taken birth to suffer but to experience the best of the best this planet earth can offer.
BABA HARDEV SINGH JI MAHARAJ,"Humanity is, in fact, the true religion."
BUDDHA,"Pay no attention to the faults of others, things done or left undone by others. Consider only what by oneself is done or left undone"
BUDDHA,The Way is not in the sky; the Way is in the heart.
BUDDHA,"Just as a candle cannot burn without fire, man cannot live without a spiritual life."
BUDDHA,"Looking deeply at life as it is in this very moment, the meditator dwells in stability and freedom."
CHANAKYA,The biggest guru-mantra is: Never share your secrets with anybody. It will destroy you.
CHRISTOPHER PIKE,A true teacher would never tell you what to do. But he would give you the knowledge with which you could decide what would be best for you to do.
DALAI LAMA,"The whole purpose of religion is to facilitate love and compassion, patience, tolerance, humility, forgiveness."
DALAI LAMA,We can never obtain peace in the outer world until we make peace with ourselves.
DALAI LAMA,"If you want others to be happy, practise compassion. If you want to be happy, practise compassion"
DESOMOND TUTU,Peace comes when you talk to the guy you most hate. And that's where the courage of a leader comes.
DESOMOND TUTU,I am a leader by default  only because nature does not allow a vacuum.
DR. WAYNE DYER,"When you change the way you look at things, the things you look at change."
ECKHART TOLLE,Realize deeply that the present moment is all you have. Make the now the primary focus of your life.
EDITH STEIN,The nation doesn't simply need what we have. It needs what we are.
FRIEDRICH NIETZSCHE,"It is in our wild nature that we best recover from our un-nature, our spirituality."
GURU NANAK,Speak only that which will bring you honor.
GURU NANAK,"Dwell in peace in the home of your own being, and the Messenger of Death will not be able to touch you."
GURU NANAK,"Whatever kind of seed is sown in a field, prepared in due season, a plant of that same kind, marked with the peculiar qualities of the seed, springs up in it."
GURU NANAK,Even Kings and emperors with heaps of wealth and vast dominion cannot compare with an ant filled with the love of God.
JESUS CHRIST,"For what shall it profit a man, if he gain the whole world, and suffer the loss of his soul?"
KIRPAL SINGH,Be Good-Do Good-Be One
LAO TZU,The wicked leader is he who the people despise. The good leader is he who the people revere. The great leader is he who the people say.
MA JAYA SATI BHAGAVATI,Quiet the mind and the soul will speak.
MAHAVIR,Soul is the central point of spiritual discipline.
MAHAVIR,"Kill not, cause no pain.�Nonviolence is the greatest religion."
OSHO,Fools laugh at others. Wisdom laughs at itself.
PARAMAHANSA YOGANANDA,Live quietly in the moment and see the beauty of all before you. The future will take care of itself...
PARAMAHANSA YOGANANDA,"The Stone of Guilt in the River of the Mind, the block in the flow of intelligence."
PARAMAHANSA YOGANANDA,"Bring into play the almighty power within you, so that on the stage of life you can fulfill your high destined role."
RAM DASS,The next message you need is always right where you are.
SADHGURU JAGGI VASUDEV,The sign of intelligence is that you are constantly wondering. Idiots are always dead sure about every damn thing they are doing in their life.
SADHGURU JAGGI VASUDEV,Too many people are hungry not because there is dearth of food. It is because there is dearth of love and care in human hearts.
SADHGURU JAGGI VASUDEV,Learning to listen is the essence of intelligent living.
SHRI SHRI ANANDAMURTI,"You are never alone or helpless. The force that guides the stars, guides you too."
SIVANANDA,"Let each man take the path according to his capacity, understanding and temperament. His true guru will meet him along that path."
SRI AUROBINDO,"But difficulties were made to be overcome and if the Supreme Will is there, they will be overcome."
SRI SATHYA SAI BABA,"Life is a challenge, meet it! Life is a dream, realize it! Life is a game, play it! Life is Love, enjoy it!"
SRI SRI RAVI SHANKAR,"There is saint hidden within each one of you. To bring out that saint within, all that you have to do is be contented.?"
ST AUGUSTINE,Pray as though everything depended on God. Work as though everything depended on you.
ST. THOMAS AQUINAS,To convert somebody go and take them by the hand and guide them.
ST. THOMAS AQUINAS,All the efforts of the human mind cannot exhaust the essence of a single fly.
ST. VINCENT DE PAUL,"Charity is certainly greater than any rule. Moreover, all rules must lead to charity."
SWAMI VIVEKANANDA,"Whatever you think, that you will be. If you think yourselves weak, weak you will be; if you think yourselves strong, strong you will be."
SWAMI VIVEKANANDA,"Arise, awake, stop not till the goal is reached."
SWAMI VIVEKANANDA,"You have to grow from the inside out. None can teach you, none can make you spiritual. There is no other teacher but your own soul."
